Instrument,SEC_CODE
LP68348501,KFAFIX-A
LP68348502,K-GHEALTH(UH)
LP68351316,TUSEQ-UH
LP68351627,KT-INDIA-A
LP68351628,ONE-UGG-RA
LP68351748,KT-INDIA-D
LP68352286,ES-PRIMELOWBETA
LP68352960,UGBF-A
LP68352965,SCBGPLUS
LP68355408,PRINCIPAL GIF
LP68355887,UGBF-N
LP68356121,MMM-PLUS
LP68356125,TISCOIN
LP68356344,K-AEC
LP68356894,KFTHAISM
LP68356895,SCBST555A
LP68357355,ES-JPNAE
LP68358641,ES-PROPINFRAFLEX
LP68360008,ONE-HOSPITAL
LP68360545,B-ASEAN
LP68360547,ES-USBLUECHIP
LP68361624,SCBPLUS
LP68361625,K-GINFRA-A(D)
LP68361692,KKP SMART MV
LP68362000,TINC-R
LP68362510,KFGPROP-D
LP68362735,UIDPLUS
LP68362736,K-SFPLUS
LP68363105,KT-GMO-A
LP68364617,GVREIT
LP68365406,ONE-ACT-RD
LP68366039,SCBLEQ
LP68366277,K-EUX
LP68366278,K-JPX-A(A)
LP68367249,LHIP-D
LP68367872,LHSMART-D
LP68367876,ES-MIXED7030
LP68368877,KTFIXPLUS-A
LP68368878,KTFIXPLUS-I
LP68370016,KFSMART-A
LP68370219,PRINCIPAL SIF-A
LP68370407,SCBEUSM
LP68370964,KT-JAPANSM-A
LP68370967,SCBUSSM
LP68371010,KT-JAPANSM-D
LP68372188,K-PROPI-A(D)
LP68372190,ES-GINCOME
LP68373870,UGMAC
LP68374481,KF-GLS
LP68375024,SCBDIGI
LP68375234,UPINCM
LP68376491,TUSFIX
LP68377789,ES-DINCOME
LP68378255,PRINCIPAL GERMANEQ
LP68378743,K-MVEQ
LP68379581,KT-PIF-D
LP68379606,KT-PIF-A
LP68380580,LHJAPE-D
LP68380979,KTSTPLUS-A
LP68380982,KTSTPLUS-I
LP68381140,KFGBRAND-D
LP68381532,B-HY (UH) AI
LP68381533,B-HY (H75) AI
LP68382446,SCBST555B
LP68383088,ES-GINFRA-A
LP68384869,TISCOFIX-A
LP68385999,SCBGSIFR
LP68386447,TDSLTF-A
LP68386448,TDSLTF-B
LP68387030,LHMSFL-D
LP68387031,LHMSFL-A
LP68387043,TMSLTF-A
LP68387044,TMSLTF-B
LP68387522,UFIN-N
LP68387523,UFIN-A
LP68387751,PRINCIPAL iGOLD-C
LP68388842,LHSMARTLTF-D
LP68388846,TISCODS
LP68388847,ES-TMSMV
LP68388848,SCBGPROP
LP68389190,SCBFLX
LP68389191,SCBTEQ
LP68389544,ES-LOWBETALTFD
LP68389588,KF-CSINCOM
LP68389589,KF-SINCOME
LP68390226,ONE-ACT70LTF
LP68390919,TCINCP-R
LP68391935,BBASICDLTF
LP68391937,TLFLEX
LP68392471,LHPROPINFRA-D
LP68392472,KKP SM CAP
LP68393646,ONE-SHARIAHLTF
LP68393662,SCBAPLUSA
LP68393667,SCBAPLUS
LP68394690,KTEF-LTF-L
LP68395141,TLLTFEQ
LP68396489,ES-ASIANPROP
LP68396547,TPRIME
LP68396697,KFLTFAST-D
LP68396698,KFLTFTSM-D
